#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-20T11:15:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e1190354ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&
#-c=19 16 22.1 -16 15 00.0
#-c.eq=J2000
#-c.r=  120
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=289.092083-16.250000,rm=120.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column	_r	(F8.4)	Distance from center (289.0920833333-16.2500000000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	TYC2	(A12)	Tycho 2 identifier (\original{tycho2_id})	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
 62.0804;      ;6300-1737-1 ;289.5563416925;-17.1842648622;  1.50; 0.30;   -9.836; 3.037;   -4.304; 2.795
 62.1067;      ;6296-589-1  ;288.7319568046;-15.2746332225;  1.07; 0.38;    1.840; 3.755;   -7.190; 3.475
 62.1563;      ;6296-753-1  ;288.0187899207;-16.1458270218;  1.48; 0.61;  -33.643; 4.764;  -31.458; 4.366
 62.1771;      ;6296-518-1  ;288.0990962148;-15.8459907814;  2.29; 0.97;   16.257; 4.126;  -13.444; 4.354
 62.2833;      ;6300-1219-1 ;289.2288845690;-17.2797586607;  1.29; 0.28;   -0.729; 2.424;   -9.817; 2.267
 62.2876;      ;6296-307-1  ;288.4165659315;-15.4404259952;  4.05; 0.26;   -4.077; 1.152;  -27.190; 1.117
 62.3716;      ;6300-140-1  ;289.1873178463;-17.2855200443;  3.60; 0.27;   -2.649; 2.581;  -27.862; 2.137
 62.4290;      ;6296-1442-1 ;289.2154512540;-15.2163151775;  0.55; 0.29;    0.803; 2.252;   -8.742; 1.951
 62.4379;      ;6296-294-1  ;288.0332045180;-16.0301445275;  1.22; 0.28;    1.554; 2.137;   -8.217; 1.911
 62.5471;      ;6300-1275-1 ;288.7767525600;-17.2477640128;  1.26; 0.33;   -1.521; 2.926;   -6.180; 2.712
 62.5837;      ;6296-153-1  ;288.6293171886;-15.3067800849;  1.35; 0.82;   -5.656; 2.794;  -10.209; 2.657
 62.7430;      ;6297-702-1  ;290.1402164220;-15.9680065363;  0.80; 0.35;   -4.319; 3.482;   -3.210; 3.054
 62.8831;      ;6300-846-1  ;289.6112351051;-17.1725964247;  1.06; 0.27;    1.071; 3.494;  -18.472; 3.087
 62.9280;      ;6300-57-1   ;288.5317625182;-17.1510866332;  1.86; 0.29;    9.101; 3.164;    0.853; 3.180
 62.9578;      ;6296-280-1  ;288.0538881282;-16.5805445485;  0.33; 0.40;   -4.810; 3.450;    2.543; 3.166
 63.0663;      ;6297-656-1  ;290.1766346171;-16.3965874017;  0.69; 0.69;   -0.031; 2.463;   -7.564; 1.863
 63.3814;      ;6296-1691-1 ;289.6518538052;-15.3412802090;  0.15; 0.31;    3.001; 2.607;   -5.019; 2.347
 63.4702;      ;6296-1310-1 ;289.8312592867;-15.4667714712;  1.10; 0.30;    1.016; 3.053;   -8.919; 2.671
 63.4941;      ;6300-288-1  ;289.8905369035;-16.9810769951;  3.03; 0.27;   -1.763; 1.559;  -24.741; 1.498
 63.6506;      ;6296-549-1  ;288.2894647469;-15.5223538710; 11.44; 0.51;   -8.710; 3.356;  -49.923; 2.994
 63.9558;      ;6300-1354-1 ;288.7020661465;-17.2483634694;  0.37; 0.37;    9.260; 4.200;   -3.244; 3.420
 64.0385;      ;6300-413-1  ;289.4332840457;-17.2660756741;  1.08; 0.27;    0.698; 1.620;   -8.527; 1.584
 64.0829;      ;6296-253-1  ;288.0119853035;-16.5086351758;  1.23; 0.24;    5.889; 2.209;   -3.219; 1.994
 64.2448;      ;6296-1202-1 ;289.3185468404;-15.2016759846;  0.09; 0.39;   -2.465; 3.421;   -1.193; 3.166
 64.3492;      ;6296-480-1  ;288.0290194555;-15.9230482571;  2.87; 0.34;   -0.519; 0.761;   -9.949; 0.785
 64.4396;      ;6296-1683-1 ;289.7322433598;-15.3701788334;  4.22; 0.93;  -13.048; 4.331;  -41.132; 4.040
 64.4473;      ;6297-575-1  ;290.0186618962;-15.6499720690;  1.91; 0.25;    3.540; 1.409;   -7.327; 1.303
 64.4702;      ;6296-821-1  ;289.8468035114;-15.4578665337;  1.96; 0.30;   -3.649; 1.737;   -9.388; 1.638
 64.5143;      ;6297-231-1  ;290.1979946312;-16.0829214194;  0.19; 0.43;   12.085; 3.435;    1.704; 3.035
 64.6159;      ;6296-451-1  ;288.1088484403;-15.7338434827;  1.35; 0.47;    1.443; 4.905;   -4.841; 4.554
 64.7839;      ;6296-156-1  ;288.6731577602;-15.2483724785;  1.44; 0.43;   -8.656; 3.991;   -3.904; 3.679
 64.8188;      ;6296-259-1  ;288.4892467340;-15.3386294283;  0.40; 0.26;    2.273; 2.552;    4.682; 2.291
 64.9041;      ;6300-914-1  ;288.1860489738;-16.8950182271; -0.05; 0.83;    7.621; 3.347;    0.225; 2.391
 65.0654;      ;6300-254-1  ;289.5903960059;-17.2237854719;  1.26; 0.35;   -0.828; 3.868;   -4.458; 3.560
 65.3290;      ;6296-1312-1 ;289.1652838162;-15.1634652825;  1.43; 0.24;   11.338; 5.021;   -2.501; 4.307
 65.4942;      ;6300-559-1  ;288.7066240952;-17.2772825570;  1.44; 0.48;    3.510; 3.416;   -0.175; 2.825
 65.5850;      ;6296-667-1  ;288.7317534071;-15.2133987217;  0.95; 0.42;   -2.832; 4.544;  -10.281; 3.974
 65.5937;      ;6297-650-1  ;290.0651931581;-15.6844249556;  2.53; 0.30;   19.167; 2.461;    5.336; 1.965
 65.8290;      ;6296-1034-1 ;289.0864900764;-15.1528633037;  0.56; 0.31;   -7.174; 7.164;  -10.132; 6.130
 65.8987;      ;6296-327-1  ;288.0288530821;-16.6580852856;  1.02; 0.26;   -0.591; 2.284;  -10.862; 2.290
 66.0071;      ;6296-895-1  ;289.6740137460;-15.3030792742;  2.79; 0.25;   -1.815; 2.348;  -17.802; 2.085
 66.3148;      ;6300-533-1  ;289.3763780711;-17.3212104066;  5.79; 0.28;   -4.415; 3.011;   -5.732; 2.910
 66.3301;      ;6297-1362-1 ;290.1222754978;-16.7464265007;  1.73; 0.37;    3.672; 3.288;   -3.954; 3.080
 66.4105;      ;6300-897-1  ;289.6561154427;-17.2160980330;  3.62; 0.30;   -1.391; 0.651;  -26.690; 0.642
 66.4563;      ;6300-1210-1 ;288.2664707445;-17.0252706384;  1.16; 0.34;   -4.457; 4.038;   -0.231; 4.089
 66.4706;      ;6296-1056-1 ;289.0811348657;-15.1422076300;  0.87; 0.34;   -1.346; 4.553;   -4.226; 3.549
 66.5504;      ;6297-631-1  ;290.0217474787;-15.5934627732;  3.24; 0.26;    1.126; 2.681;  -26.199; 2.124
 66.6331;      ;6296-197-1  ;288.9443007706;-15.1485986326;  2.07; 0.24;    3.525; 3.030;   -7.433; 2.717
 66.6790;      ;6296-533-1  ;288.0276368415;-15.8159280976;  1.30; 0.31;    4.469; 2.937;    4.327; 2.404
 66.9077;      ;6297-609-1  ;290.1139563994;-15.7222684178;  0.61; 0.37;   11.429; 2.963;   -0.953; 2.686
 66.9221;      ;6296-225-1  ;288.0241837778;-15.8133936509;  3.53; 0.27;   -0.581; 1.062;  -31.042; 1.132
 66.9366;      ;6283-1175-1 ;287.9714595717;-15.9577399524;  1.83; 0.46;   10.061; 3.427;   -5.604; 3.048
 66.9378;      ;6296-547-1  ;288.4153573414;-15.3441183469;  1.38; 0.49;   -6.871; 3.983;   -8.872; 3.582
 66.9706;      ;6283-1171-1 ;287.9563715078;-16.4918281150;  0.87; 0.31;    2.692; 2.974;   -0.675; 2.695
 66.9995;      ;6300-354-1  ;288.2252996307;-16.9964004697;  1.03; 0.34;    0.764; 0.430;   -8.132; 0.504
 67.1511;      ;6300-599-1  ;288.3152060223;-17.0858846311;  1.10; 0.26;    1.759; 1.515;   -2.615; 1.441
 67.2489;      ;6300-557-1  ;288.8124448185;-17.3383739427;  3.63; 0.39;   -5.651; 2.345;  -27.735; 2.193
 67.2778;      ;6300-619-1  ;288.3612260440;-17.1259079551;  0.71; 0.32;    1.978; 3.133;   -3.489; 2.875
 67.3243;      ;6283-627-1  ;287.9898198178;-15.8797176682;  2.27; 0.63;    0.604; 6.233;  -14.455; 5.537
 67.5935;      ;6296-278-1  ;288.1237533489;-15.6158519423;  2.55; 0.24;   -2.573; 2.756;  -20.604; 2.575
 67.6724;      ;6296-931-1  ;289.6908393316;-15.2804311005;  0.55; 0.70;    5.165; 3.553;   -0.801; 3.291
 67.8404;      ;6297-162-1  ;290.0084757909;-15.5417213414;  1.15; 0.31;   -2.651; 2.594;   -0.851; 2.337
 67.8464;      ;6297-156-1  ;290.1765628679;-15.8115337963;  1.71; 0.37;    6.693; 1.948;   -5.639; 1.788
 67.9076;      ;6296-477-1  ;288.3984003702;-15.3359886866;  3.56; 0.29;   -4.426; 2.880;  -19.260; 2.588
 67.9578;      ;6300-2245-1 ;289.5329430513;-17.3010417759;  1.76; 0.29;    1.246; 2.613;   -4.089; 2.651
 68.0455;      ;6300-419-1  ;288.8290110721;-17.3557762230;  0.88; 0.35;   -1.799; 3.814;  -12.214; 3.493
 68.1120; 94435;            ;288.3136097659;-17.1059122686;  3.40; 0.25;   -0.574; 0.108;  -27.189; 0.065
 68.1179;      ;6296-242-1  ;288.3123809164;-15.3978357304;  0.10; 0.35;  -13.765; 3.092;   -0.612; 2.786
 68.1329;      ;6283-1269-1 ;287.9367254064;-16.0098987724;  0.95; 0.25;    5.943; 3.377;    3.123; 3.123
 68.1405;      ;6296-394-1  ;288.2147305089;-15.4900102418;  1.48; 0.29;    0.322; 2.148;   -7.078; 1.925
 68.2682;      ;6283-1022-1 ;287.9471357129;-16.5469523432;  2.86; 0.38;    0.761; 2.281;  -25.888; 2.069
 68.3461;      ;6296-595-1  ;288.5455126300;-15.2396443532;  0.43; 0.36;   -5.216; 3.653;    0.979; 3.274
 68.3567;      ;6300-706-1  ;288.4290748070;-17.1959299703;  0.10; 0.30;    6.323; 2.903;   -6.637; 2.675
 68.6433;      ;6297-391-1  ;290.2528694186;-15.9943805931;  2.13; 0.69;    4.200; 3.809;  -16.165; 3.431
 68.6525;      ;6300-160-1  ;288.1844836682;-16.9935693417;  1.81; 0.26;   -5.520; 1.006;   -2.032; 1.061
 68.7977;      ;6283-1364-1 ;287.9966250300;-16.7096807468;  0.83; 0.30;    2.110; 3.559;   -3.801; 3.290
 68.9575;      ;6283-1287-1 ;287.9407190718;-15.9383673376;  1.97; 0.37;   10.914; 3.903;    8.012; 3.456
 69.0414;      ;6296-726-1  ;288.9374103809;-15.1089866786;  0.66; 0.24;    0.969; 2.935;   -1.815; 2.637
 69.0895;      ;6301-1859-1 ;290.0449767646;-16.9514691785;  3.27; 0.38;    2.370; 3.148;   -6.729; 2.898
 69.0924;      ;6297-157-1  ;290.2376939905;-16.5942771121;  2.13; 0.39;    7.006; 1.385;   -7.958; 1.278
 69.1911;      ;6296-1237-1 ;289.9115522423;-15.4084033214;  1.49; 0.43;   -3.180; 3.557;   -6.737; 3.151
 69.1923;      ;6297-543-1  ;290.0342042540;-15.5366512516;  1.37; 0.45;   -6.934; 3.544;  -13.558; 3.202
 69.2866;      ;6296-1141-1 ;289.5715385093;-15.1914562257;  0.31; 0.44;    1.234; 6.470;   -4.465; 5.092
 69.3264;      ;6283-471-1  ;287.9706984589;-16.6725179206;  0.87; 0.27;    5.331; 3.666;   -2.024; 3.006
 69.3384;      ;6300-1233-1 ;288.7119332915;-17.3468436865;  7.59; 0.32;   32.438; 0.261;   -9.125; 0.308
 69.4429;      ;6300-791-1  ;289.6068024145;-17.2972198326;  0.79; 0.75;    6.668; 4.491;    4.818; 4.595
 69.4534;      ;6296-1231-1 ;289.7704273979;-15.2940738069;  1.45; 0.81;    5.714; 3.761;   -4.035; 3.499
 69.5421;      ;6296-374-1  ;288.3233573012;-15.3576623308;  1.83; 0.38;   -2.977; 2.678;   -2.639; 2.499
 69.5443;      ;6297-1167-1 ;290.2919972694;-16.3814855227;  0.64; 0.27;   -7.231; 5.941;   -8.524; 5.151
 69.6410;      ;6300-667-1  ;289.8652146923;-17.1437611675;  1.81; 0.24;    2.162; 3.002;   -8.360; 2.727
 69.6485;      ;6297-523-1  ;290.2539105946;-15.9316691093;  0.33; 0.41;   -2.699; 2.600;    0.572; 2.369
 69.6537;      ;6297-624-1  ;290.0219802813;-15.5099162177;  3.39; 0.29;   -2.987; 3.009;  -27.684; 2.704
 69.7179;      ;6301-1945-1 ;290.0131406615;-17.0058437055;  0.83; 0.76;    2.128; 4.886;   -1.884; 4.434
 69.8053;      ;6283-1301-1 ;287.9385165189;-16.6095802281;  0.74; 0.25;    1.808; 2.908;   -6.103; 2.666
 69.8208;      ;6283-981-1  ;287.9671736703;-16.6863858612;  1.17; 0.28;   -0.118; 2.789;  -13.229; 2.474
 69.8295;      ;6296-1011-1 ;289.3061284254;-15.1045659004;  0.27; 0.32;    0.333; 2.678;   -0.446; 2.387
 69.8395;      ;6297-1291-1 ;290.1762987435;-16.7737556422; 11.17; 0.24;   71.256; 3.163; -128.395; 3.048
 69.9589;      ;6296-466-1  ;288.8496701752;-15.1076146468;  3.60; 0.28;    5.962; 2.947;   -8.472; 2.669
 70.0950;      ;6296-731-1  ;288.2644331076;-15.3951635605;  0.84; 0.26;   -2.492; 2.088;    0.592; 1.880
 70.1165;      ;6300-1591-1 ;289.4246947794;-17.3743996224;  5.93; 0.25;  -10.975; 1.873;  -26.393; 1.845
 70.2020;      ;6300-147-1  ;289.3889613062;-17.3849993142;  1.98; 0.28;    1.336; 2.734;   -7.694; 2.454
 70.2797;      ;6296-393-1  ;288.6072608610;-15.1756607367;  0.42; 0.40;  -13.049; 2.796;   -6.519; 2.486
 70.2863;      ;6283-355-1  ;287.8719718701;-16.2399590333; -0.10; 0.36;   -9.200; 2.067;   -1.739; 1.958
 70.2884;      ;6300-367-1  ;288.5068899357;-17.2787853712;  0.62; 0.65;   -0.394; 2.084;    3.244; 2.075
 70.3117;      ;6296-596-1  ;288.6651894026;-15.1525602925;  2.41; 0.49;   28.876; 4.727;    8.723; 4.144
 70.3944;      ;6283-838-1  ;287.9033931387;-15.9809596264; -0.05; 0.99;    5.735; 2.875;   -3.248; 3.946
 70.4615;      ;6300-305-1  ;288.5948103853;-17.3235330372;  0.97; 0.43;    8.225; 3.562;   -1.370; 3.273
 70.4817;      ;6301-1187-1 ;290.1266141024;-16.8798101333;  0.93; 0.25;   -3.943; 2.939;   -7.060; 2.681
 70.5238;      ;6283-808-1  ;287.8696928636;-16.1876181052;  1.56; 0.71;    0.528; 3.435;    0.709; 3.195
 70.6355;      ;6296-827-1  ;289.7937363482;-15.2856408389;  1.30; 0.40;    2.377; 3.524;   -3.216; 2.789
 70.7435;      ;6297-102-1  ;290.1940692598;-16.7733624892;  0.29; 0.46;    4.167; 6.229;    5.118; 5.019
 70.7982;      ;6296-1504-1 ;289.2116654087;-15.0756602632;  1.28; 0.52;   -5.663; 2.702;   -1.214; 1.395
 71.1425;      ;6283-256-1  ;287.8742923504;-16.0559025128;  1.66; 0.26;    5.788; 1.128;   -1.649; 1.057
 71.2392;      ;6296-334-1  ;288.8472192711;-15.0863230636;  0.92; 0.23;   -5.011; 2.634;  -10.054; 2.383
 71.2655;      ;6300-1968-1 ;288.9337007470;-17.4280456542;  1.56; 0.30;   -4.170; 1.397;    0.615; 1.352
 71.3252;      ;6300-687-1  ;288.1640150323;-17.0389901013;  1.13; 0.27;    3.579; 2.129;   -4.708; 2.019
 71.3847;      ;6300-690-1  ;289.9457950409;-17.1141447578;  2.11; 0.28;  -20.938; 3.142;  -21.542; 2.771
 71.4334;      ;6283-581-1  ;287.9186906208;-15.8679752244;  1.41; 0.39;    4.028; 2.248;   -6.530; 2.010
 71.7575;      ;6300-939-1  ;288.4922354536;-17.2990379423;  0.23; 0.56;    4.295; 3.920;    0.844; 4.023
 72.0282;      ;6296-229-1  ;288.5068650993;-15.1899050938;  1.14; 0.35;    3.793; 3.973;   -6.307; 3.548
 72.1106;      ;6297-1357-1 ;290.3287708132;-16.4401705303;  0.61; 0.28;    3.143; 1.409;   -1.882; 1.247
 72.2863;      ;6296-1419-1 ;289.9565928768;-15.3784388816;  3.97; 0.26;   29.872; 2.612;   -7.898; 2.570
 72.3004;      ;6296-561-1  ;288.8110067343;-15.0757769667;  0.81; 0.27;    0.806; 2.841;   -0.061; 2.573
 72.3933;      ;6297-1193-1 ;290.3096219180;-15.9543405434;  1.77; 0.31;   -6.817; 4.993;   -9.925; 6.007
 72.5988;      ;6296-603-1  ;288.7840564393;-15.0769314916;  0.67; 0.31;   -3.439; 3.382;   -0.876; 3.108
 72.6367;      ;6283-470-1  ;287.8342707546;-16.3396806183;  1.82; 0.26;   -3.514; 2.698;  -14.465; 2.428
 72.6404;      ;6300-271-1  ;289.8859664360;-17.1921615628;  1.40; 0.28;    1.083; 2.853;   -4.098; 2.592
 72.8424;      ;6297-1118-1 ;290.3474343718;-16.1073785619;  1.29; 0.52;    0.050; 2.992;   -0.016; 2.681
 72.8584;      ;6283-1370-1 ;287.8319114966;-16.1494252383;  0.57; 0.34;   -1.975; 2.972;   -9.413; 2.738
 72.9596;      ;6297-1358-1 ;290.0128385567;-15.4169451555;  1.19; 0.58;   13.121; 3.097;   -1.501; 1.433
 73.1579;      ;6300-391-1  ;288.1494730103;-17.0692791696;  2.26; 0.36;    3.271; 2.350;   -6.892; 2.233
 73.1910;      ;6300-302-1  ;288.0820165888;-16.9924932708;  4.80; 0.70;  -17.256; 4.479;  -23.566; 4.292
 73.2687;      ;6300-309-1  ;288.8367160826;-17.4464382389;  2.96; 0.26;  -18.346; 3.230;  -19.248; 2.970
 73.3684;      ;6300-943-1  ;288.7178821316;-17.4191783050;  5.98; 0.37;   24.590; 4.169;  -22.727; 3.949
 73.5215;      ;6300-645-1  ;289.5581040577;-17.3912813204;  1.60; 0.31;   -1.073; 2.039;   -8.220; 1.916
 73.6233;      ;6300-141-1  ;288.5557948274;-17.3645017890;  1.07; 0.27;    2.606; 1.782;   -1.410; 1.682
 73.7039;      ;6300-502-1  ;289.5644538782;-17.3921570482;  4.69; 0.27;   18.669; 2.531;    9.533; 2.401
 73.7321;      ;6296-457-1  ;288.1149251444;-15.4584446581;  3.94; 0.80;    5.601; 2.546;   -3.659; 2.363
 73.7808;      ;6296-1411-1 ;289.1531181780;-15.0217252416;  1.93; 0.36;  -15.584; 3.070;    5.282; 2.740
 73.8737;      ;6296-494-1  ;288.6020819462;-15.1127350845;  0.22; 0.33;   -2.268; 6.449;    4.022; 5.598
 73.9978;      ;6300-2-1    ;288.1043961568;-17.0409218969;  2.76; 0.28;  -13.709; 3.254;    0.407; 3.054
 74.0137;      ;6296-1077-1 ;289.1137776855;-15.0166146606;  0.84; 0.27;    0.113; 3.232;    1.513; 3.188
 74.0893;      ;6300-1814-1 ;289.4009172479;-17.4489263006;  2.98; 0.25;   -0.950; 2.930;   -5.639; 2.961
 74.1559;      ;6297-590-1  ;290.2430148815;-15.6993385028;  1.06; 0.41;   -3.471; 3.786;   -9.257; 3.368
 74.3730;      ;6300-1239-1 ;288.9140625656;-17.4777879566;  1.55; 0.26;    4.497; 1.567;   -5.607; 1.606
 74.4321;      ;6283-496-1  ;287.9190089119;-15.7330086757;  1.88; 0.32;    1.789; 3.642;   -0.495; 3.377
 74.6027;      ;6297-607-1  ;290.2796603719;-16.7494254051;  0.63; 0.86;    3.432; 5.246;    1.936; 5.379
 74.7671;      ;6296-365-1  ;288.8494980621;-15.0259736556; -0.27; 0.79;   -0.327; 2.199;   -5.594; 3.034
 74.8339;      ;6301-2075-1 ;290.1788406470;-16.9362076785;  3.47; 0.42;  -11.155; 2.897;  -17.566; 2.397
 74.8779;      ;6296-730-1  ;288.3615511481;-15.2189797090;  0.58; 0.44;    6.185; 5.896;   -0.620; 4.671
 74.9010;      ;6283-1288-1 ;287.9674799887;-15.6262764113;  1.79; 0.31;    2.873; 3.668;   -9.466; 3.391
 74.9706;      ;6297-1220-1 ;290.3873753035;-16.1318914676;  0.71; 0.36;   -1.453; 2.426;   -5.881; 2.436
 74.9947;      ;6300-931-1  ;289.5835839474;-17.4080011401;  1.15; 0.33;    5.538; 4.028;    3.545; 3.795
 75.0018;      ;6283-667-1  ;287.8429668727;-15.9008157652;  3.76; 0.59;   25.186; 4.504;   19.046; 4.013
 75.1477;      ;6300-142-1  ;288.8425774330;-17.4794923763;  1.05; 0.31;   -3.696; 3.871;  -10.155; 3.894
 75.2301;      ;6283-98-1   ;287.9277188638;-16.8211342374;  3.46; 0.26;    0.224; 1.757;  -11.665; 1.694
 75.4175;      ;6297-861-1  ;290.3910159774;-16.0962901489;  2.12; 0.43;    2.277; 3.688;   -4.142; 3.294
 75.5738;      ;6296-1580-1 ;289.6290190031;-15.1014104923;  1.09; 0.30;    2.924; 1.829;   -7.149; 1.666
 75.6403;      ;6297-787-1  ;290.3625332527;-15.9349257449;  1.83; 0.27;    1.991; 2.327;   -2.760; 2.099
 75.6500;      ;6300-843-1  ;289.1526746594;-17.5094997989;  0.95; 0.26;    1.549; 2.866;    4.956; 2.756
 75.6961;      ;6296-1344-1 ;289.6997606628;-15.1322387417;  1.04; 0.37;    2.864; 2.685;   -4.327; 2.397
 75.7547;      ;6296-248-1  ;288.7311167641;-15.0362096299;  0.87; 0.73;   -1.143; 5.148;    0.967; 4.749
 76.0508;      ;6300-171-1  ;289.6763705864;-17.3874499940;  0.87; 0.36;   -2.629; 4.478;   -5.911; 4.482
 76.0780;      ;6296-519-1  ;288.4134315400;-15.1632901769;  0.56; 0.28;    1.807; 3.781;   -2.695; 3.454
 76.1622;      ;6296-1635-1 ;289.8286630604;-15.1970922257;  0.45; 0.37;    1.975; 3.791;   -5.165; 3.517
 76.2247;      ;6296-729-1  ;288.7054115111;-15.0353781365;  0.61; 0.45;    0.771; 2.498;   -8.391; 2.545
 76.2588;      ;6296-249-1  ;288.0392542458;-15.4820087217;  1.30; 0.28;   -0.130; 1.758;    0.281; 1.623
 76.2620;      ;6300-839-1  ;288.7351382291;-17.4742715949; -1.40; 0.70;    3.402; 3.329;    1.627; 2.152
 76.4970;      ;6300-1419-1 ;289.5691524832;-17.4403880163;  1.56; 0.30;    1.323; 3.737;    2.089; 3.614
 76.5598;      ;6296-1115-1 ;289.3975393345;-15.0083716962;  1.81; 0.22;    7.266; 2.267;   -6.519; 2.046
 76.6009;      ;6300-476-1  ;288.6743547278;-17.4624762301;  0.31; 0.35;    6.419; 3.666;    4.391; 3.004
 76.6336;      ;6300-578-1  ;288.2399985337;-17.2326098039;  1.65; 0.41;    4.276; 4.109;    1.496; 4.851
 76.6670;      ;6297-655-1  ;290.2481341203;-15.6198942700;  0.53; 0.25;   -4.481; 2.362;   -9.894; 2.170
 76.6847;      ;6297-139-1  ;290.4135926847;-16.4086082916;  0.48; 0.32;   -2.746; 2.286;   -7.569; 1.999
 76.9677;      ;6297-1314-1 ;290.3795974118;-15.9107949775;  3.52; 0.35;    0.779; 2.178;   -8.753; 1.746
 77.1293;      ;6287-1280-1 ;287.9939525019;-16.9884141868;  0.79; 0.65;    1.891; 0.975;   -3.957; 1.347
 77.1811;      ;6300-218-1  ;289.5126394358;-17.4717697684;  3.17; 0.25;    8.397; 2.692;   13.868; 2.636
 77.2119;      ;6297-835-1  ;290.3882179555;-15.9258514656;  3.78; 0.32;   -6.234; 3.050;   -7.220; 2.725
 77.2229;      ;6297-1102-1 ;290.3538349152;-15.8187804870;  1.60; 0.29;    6.895; 1.462;   -6.076; 1.233
 77.2710;      ;6297-1086-1 ;290.4332219976;-16.2819499254;  3.05; 0.62;    7.878; 0.737;    0.658; 0.603
 77.2879;      ;6300-1482-1 ;289.4921192226;-17.4799321182;  0.55; 0.28;   -3.064; 2.911;   -2.771; 2.829
 77.3593;      ;6283-1373-1 ;287.8195991613;-16.6660734761;  0.44; 0.28;   -0.507; 1.517;    0.183; 1.557
 77.4465;      ;6296-1186-1 ;289.7285221358;-15.1139293118;  0.90; 0.25;   -0.243; 2.058;   -2.003; 1.858
 77.4531;      ;6283-105-1  ;287.8678371577;-16.7873895719;  1.24; 0.24;   -0.410; 3.014;   -5.260; 2.858
 77.5411;      ;6296-1661-1 ;289.6153559845;-15.0599129119;  2.44; 0.50;   -2.359; 1.523;  -14.868; 1.526
 77.6094;      ;6296-1967-1 ;289.9766744499;-15.2761480517;  3.72; 0.24;   -1.108; 2.079;  -28.503; 1.886
 77.6524;      ;5720-1092-1 ;289.1161734480;-14.9560008850;  1.76; 0.60;   -7.756; 2.975;    1.000; 1.551
 77.8101;      ;6301-1140-1 ;290.2132870507;-16.9762689183;  1.65; 0.28;   -9.523; 2.699;  -14.986; 2.467
 77.8177;      ;6300-154-1  ;288.7308064280;-17.5000376884;  1.22; 0.24;   -2.728; 2.336;   -3.291; 2.171
 77.8340;      ;6300-577-1  ;288.2060207916;-17.2312582063;  1.61; 0.43;   -0.343; 5.122;    0.878; 5.193
 77.8393;      ;6300-421-1  ;288.6474975788;-17.4755718348;  1.00; 0.28;   -4.618; 1.699;  -16.925; 1.765
 77.8421;      ;6296-308-1  ;288.5637415796;-15.0565378921;  1.68; 0.62;  -14.076; 2.935;  -17.197; 2.656
 77.9596;      ;6300-1059-1 ;289.8730258022;-17.3126563099;  0.91; 0.62;   11.523; 5.344;   -1.648; 4.739
